ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Description,Categories,Language
0679764275,The F Word,Jesse Sheidlower,1995,Random House Reference Publishing,,,
3257228589,Davids Rache.,Hans Werner Kettenbach,1996,Diogenes Verlag,,,
0812577647,Sky Knife,Marella Sands,2000,Tor Books,,,
0156372118,The Groves of Academe,Mary McCarthy,1992,Harcourt,,,
0590470485,"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,1994,Scholastic,,,
0671571575,"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,1982,Silhouette Books,,,
0030494702,The Teaching of Reverence for Life.,"Albert, Schweitzer",1965,"Henry Holt &amp; Company, Inc.",,,
0373118902,Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,1997,Harlequin,,,
1551665743,Mackenzie'S Mountain,Linda Howard,2000,Mira,"Mackenzie's Mountain by Linda Howard released on Feb 23, 2000 is available now for purchase.",Teachers,
1570715823,And the Fans Roared: The Sports Broadcasts That Kept Us on the Edge of Our Seats (Book + 2 Audio CDs),Joe Garner,2000,Sourcebooks,,,
0140076107,Birth over thirty,Sheila Kitzinger,1985,Penguin Books,,,
0451628454,"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,1996,Signet Book,"Contains twenty-five short stories by such authors as Chinua Achebe, Anita Desai, Kobo Abe, and Isabel Allende.",Ethnicity in literature,
1891400274,"I Wasn't Ready to Say Goodbye: Surviving, Coping and Healing After the Sudden Death of a Loved One",Brook Noel,2000,Champion Press Ltd,,,
0380772906,Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,1994,Harper Mass Market Paperbacks (Mm),,,
0679641041,Blood Meridian : Or the Evening Redness in the West (Modern Library),CORMAC MCCARTHY,2001,Modern Library,,,
0785272267,"Take the Reins: A Father Teaches His Son About Life, Commitment and Spirituality",John L. Moore,1997,Thomas Nelson Inc,,,
0205161766,Behavior in Organizations: Understanding &amp; Managing the Human Side of Work,Jerald Greenberg,1995,Prentice Hall,,,
080213338X,TRY,Dennis Cooper,1995,Grove Press,"In this title, Ziggy, the adopted teenaged son of two sexually abusive fathers, turns to his uncle, who sells pornographic videos, and his best friend, a junkie, in a complex tale of sexuality, abuse, and attraction.",Fiction,en
987960170X,Kolon,Raul Alberto Lilloy,1996,Ediciones Riverrum,,,
0062503952,The Dancing Healers : A Doctor's Journey of Healing with Native Americans,Carl A. Hammerschlag,1989,HarperSanFrancisco,,,
