User-ID,Location,Age
246668,"porto, n/a, portugal",22.0
112813,"atlanta, georgia, usa",54.0
117302,"tallahassee, florida, usa",34.0
272316,"talavera de la reina, toledo, spain",19.0
237933,"hopewell, virginia, usa",39.0
170596,"kyle, texas, usa",28.0
194537,"sanming, fujian, china",
204506,"kingston, ontario, canada",24.0
209656,"coupeville, washington, usa",61.0
79088,"santa cruz do rio pardo, são paulo, brazil",19.0
70235,"arlington, virginia, usa",51.0
157494,"strzelno, n/a, poland",
159062,"keene, new hampshire, usa",
19291,"owen sound, ontario, canada",
178381,"westland, michigan, usa",
195085,"saint john, new brunswick, canada",27.0
206446,"petaluma, california, usa",
278259,"chesapeake, virginia, usa",37.0
177113,"north augusta, south carolina, usa",47.0
255645,"avondale, pennsylvania, usa",
71419,"lawrence, kansas, usa",39.0
180443,"london, england, united kingdom",32.0
111418,"great neck, new york, usa",43.0
63664,"ottawa, ontario, canada",
39112,"edinburgh, lothian, united kingdom",33.0
90682,"marietta, georgia, usa",18.0
248216,"rousse, n/a, bulgaria",15.0
178668,"ferndale, michigan, usa",28.0
13167,"river vale, new jersey, usa",
155682,"vitoria-gasteiz, euskal herria, spain",
164880,"greendale, indiana, usa",28.0
276055,"cumberland, iowa, usa",58.0
202426,"west columbia, south carolina, usa",48.0
55498,"cleveland, ohio, usa",58.0
8860,"lubbock, texas, usa",23.0
263448,"laramie, wyoming, usa",
39946,"ottawa, ontario, canada",
259457,"plainsboro, new jersey, usa",
156032,"madrid, asturias, spain",28.0
189612,"vancouver, british columbia, canada",
31731,"nampa, idaho, usa",
206613,"carmel, new york, usa",
275987,"north yarmouth, maine, usa",
185793,"lorton, virginia, usa",
258037,"detroit, michigan, usa",40.0
78207,"schweinfurt germany, bayern, germany",57.0
170027,"saskatoon, saskatchewan, canada",
158701,"knoxville, tennessee, usa",41.0
265772,"london, england, united kingdom",
52490,"detroit, michigan, usa",48.0
257385,"chula vista, california, usa",
219791,"flint, texas, usa",45.0
145711,"indianapolis, indiana, usa",16.0
